Country,"Density(P/Km2)",Agricultural Land(%),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change(%)
Guinea,53,59.00,"245,857","13,000",36.36,224,Conakry,"2,996",262.95,9.50
Guinea-Bissau,70,58.00,"36,125","4,000",35.13,245,Bissau,293,111.65,1.40
Guyana,4,8.60,"214,969","3,000",19.97,592,"Georgetown, Guyana","2,384",116.19,2.10
Haiti,414,66.80,"27,750",0,24.35,509,Port-au-Prince,"2,978",179.29,12.50
Vatican City,"2,003",,0,,,379,Vatican City,,,
Honduras,89,28.90,"112,090","23,000",21.6,504,Tegucigalpa,"9,813",150.34,4.40
Hungary,107,58.40,"93,028","40,000",9.6,36,Budapest,"45,537",121.64,3.30
Iceland,3,18.70,"103,000",0,12,354,Reykjav��,"2,065",129,3.00
India,464,60.40,"3,287,263","3,031,000",17.86,91,New Delhi,"2,407,672",180.44,7.70
Indonesia,151,31.50,"1,904,569","676,000",18.07,62,Jakarta,"563,325",151.18,3.00
Iran,52,28.20,"1,648,195","563,000",18.78,98,Tehran,"661,710",550.93,39.90
Iraq,93,21.40,"438,317","209,000",29.08,964,Baghdad,"190,061",119.86,0.40
Republic of Ireland,72,64.50,"70,273","9,000",12.5,353,Dublin,"37,711",106.58,0.90
Israel,400,24.60,"20,770","178,000",20.8,972,Jerusalem,"65,166",108.15,0.80
Italy,206,43.20,"301,340","347,000",7.3,39,Rome,"320,411",110.62,0.60
Jamaica,273,41.00,"10,991","4,000",16.1,1876,"Kingston, Jamaica","8,225",162.47,3.90
Japan,347,12.30,"377,944","261,000",7.4,81,Tokyo,"1,135,886",105.48,0.50
Jordan,115,12.00,"89,342","116,000",21.98,962,Amman,"25,108",125.6,0.80
Kazakhstan,7,80.40,"2,724,900","71,000",21.77,7,Astana,"247,207",182.75,5.20
Kenya,94,48.50,"580,367","29,000",28.75,254,Nairobi,"17,910",180.51,4.70
Kiribati,147,42.00,811,,27.89,686,South Tarawa,66,99.55,0.60
Kuwait,240,8.40,"17,818","25,000",13.94,965,Kuwait City,"98,734",126.6,1.10
Kyrgyzstan,34,55.00,"199,951","21,000",27.1,996,Bishkek,"9,787",155.68,1.10
Laos,32,10.30,"236,800","129,000",23.55,856,Vientiane,"17,763",135.87,3.30
Latvia,30,31.10,"64,589","6,000",10,371,Riga,"7,004",116.86,2.80
Lebanon,667,64.30,"10,400","80,000",17.55,961,Beirut,"24,796",130.02,3.00
Lesotho,71,77.60,"30,355","2,000",26.81,266,Maseru,"2,512",155.86,5.20
Liberia,53,28.00,"111,369","2,000",33.04,231,Monrovia,"1,386",223.13,23.60
Libya,4,8.70,"1,759,540",0,18.83,218,,"50,564",125.71,2.60
Liechtenstein,238,32.20,160,,9.9,423,Vaduz,51,,
Lithuania,43,47.20,"65,300","34,000",10,370,Vilnius,"12,963",118.38,2.30
Luxembourg,242,53.70,"2,586","2,000",10.3,352,Luxembourg City,"8,988",115.09,1.70
Madagascar,48,71.20,"587,041","22,000",32.66,261,Antananarivo,"3,905",184.33,5.60
Malawi,203,61.40,"118,484","15,000",34.12,265,Lilongwe,"1,298",418.34,9.40
Malaysia,99,26.30,"329,847","136,000",16.75,60,Kuala Lumpur,"248,289",121.46,0.70
Maldives,"1,802",26.30,298,"5,000",14.2,960,Mal�,"1,445",99.7,0.20
Mali,17,33.80,"1,240,192","18,000",41.54,223,Bamako,"3,179",108.73,-1.70
Malta,"1,380",32.40,316,"2,000",9.2,356,Valletta,"1,342",113.45,1.60
Marshall Islands,329,63.90,181,,29.03,692,Majuro,143,,
Mauritania,5,38.50,"1,030,700","21,000",33.69,222,Nouakchott,"2,739",135.02,2.30
Mauritius,626,42.40,"2,040","3,000",10.2,230,Port Louis,"4,349",129.91,0.40
Mexico,66,54.60,"1,964,375","336,000",17.6,52,Mexico City,"486,406",141.54,3.60
Federated States of Micronesia,784,31.40,702,,22.82,691,Palikir,143,112.1,0.50
Moldova,123,74.20,"33,851","7,000",10.1,373,Chi����,"5,115",166.2,4.80
Monaco,"26,337",,2,,5.9,377,Monaco City,,,
Mongolia,2,71.50,"1,564,116","18,000",24.13,976,Ulaanbaatar,"25,368",195.76,7.30
Montenegro,47,19.00,"13,812","12,000",11.73,382,Podgorica,"2,017",116.32,2.60
Morocco,83,68.50,"446,550","246,000",18.94,212,Rabat,"61,276",111.07,0.20
Mozambique,40,63.50,"799,380","11,000",37.52,258,Maputo,"7,943",182.31,2.80
Myanmar,83,19.50,"676,578","513,000",17.55,95,Naypyidaw,"25,280",168.18,8.80
Namibia,3,47.10,"824,292","16,000",28.64,264,Windhoek,"4,228",157.97,3.70
Nauru,541,,21,,,674,Yaren District,,,
Nepal,203,28.70,"147,181","112,000",19.89,977,Kathmandu,"9,105",188.73,5.60
Netherlands,508,53.30,"41,543","41,000",9.7,31,Amsterdam,"170,780",115.91,2.60
New Zealand,18,40.50,"268,838","9,000",11.98,64,Wellington,"34,382",114.24,1.60
